ETC_20150211_000001	케파	Kepa
ETC_20150211_004976	제작서-인섹트 메일	Recipe - Insect mail
ETC_20150211_004977	제작서-프로타스 부츠	Recipe - Prospero boots
ETC_20150211_004978	제작서-프로타스 트라우저	Recipe - professional Studios Rao job
ETC_20150211_004979	제작서-레드 베리스 글로브	Recipe - Red Berry Grove
ETC_20150211_004980	제작서-레드 베리스 튜닉	Recipe - Red Berry tunic
ETC_20150211_004981	제작서-라이트 플레이트 레깅스	Recipe - Light plate leggings
ETC_20150211_004982	제작서-라이트 플레이트 아머	Recipe - Light Plate Armor
ETC_20150211_004983	제작서-헤비 그리마 글로브	Recipe - Heavy Glee Ma Globe
ETC_20150211_004984	제작서-헤비 그리마 부츠	Recipe - Heavy Glee Ma boots
ETC_20150211_004985	제작서-헤비 그리마 로브	Recipe - Heavy Glee Maro over Breakfast
ETC_20150211_004986	제작서-포쿠본 레더 팬츠	Recipe - fork Bonn leather pants
ETC_20150211_004987	제작서-포쿠본 레더 아머	Recipe - fork Bonn Jerkin
ETC_20150211_004988	제작서-드레이크 레더 글로브	Recipe - Drake Leather Gloves
ETC_20150211_004989	제작서-드레이크 레더 부츠	Recipe - Drake leather boots
ETC_20150211_004990	제작서-드레이크 레더 레깅스	Recipe - Drake Leather Leggings
ETC_20150211_004991	제작서-드레이크 레더 튜닉	Recipe - Drake Leather Tunic
ETC_20150211_004992	제작서-실버 플레이트 건틀릿	Recipe - Silver plate Gauntlet
ETC_20150211_004993	제작서-실버 플레이트 그리브	Recipe - Silver plate Gris
ETC_20150211_004994	제작서-실버 플레이트 레깅스	Recipe - Silver plate leggings
ETC_20150211_004995	제작서-실버 플레이트 아머	Recipe - Silver Plate Armor
ETC_20150211_004996	제작서-부베 투사 건틀릿	Recipe - Vubbe Fighter Gauntlet
ETC_20150211_004997	제작서-실드 크래셔	Recipe - shield crusher
ETC_20150211_004998	제작서-바인 글로브	Recipe - Vine Grove
ETC_20150211_004999	제작서-바인 부츠	Recipe - Vine boots
ETC_20150211_005000	제작서-바인 팬츠	Recipe - Vine pants
ETC_20150211_005001	제작서-바인 로브	Recipe - Vine robe
ETC_20150211_005002	제작서-세인트 로브	Recipe - St. robe
ETC_20150211_005003	제작서-소울 체이서 글로브	Recipe - Seoul Chaser Globe
ETC_20150211_005004	제작서-소울 체이서 부츠	Recipe - Seoul Chaser boots
ETC_20150211_005005	제작서-소울 체이서 팬츠	Recipe - Seoul Chaser pants
ETC_20150211_005006	제작서-소울 체이서 아머	Recipe - Seoul Chaser Armor
ETC_20150211_005007	제작서-본 건틀릿	Recipe - this Gauntlet
ETC_20150211_005008	제작서-본 그리브	Recipe - this Gris
ETC_20150211_005009	제작서-본 스커트	Recipe - this skirt
ETC_20150211_005010	제작서-본 아머	Recipe - this armor
ETC_20150211_005011	제작서-쉐이드 핸즈	Recipe - Shade Hands
ETC_20150211_005012	제작서-쉐이드 러너	Recipe - Shade runner
ETC_20150211_005013	제작서-쉐이드 스커트	Recipe - shade skirt
ETC_20150211_005014	제작서-쉐이드 댄서	Recipe - Shade dancer
ETC_20150211_005015	제작서-윈드 러너	Recipe - Windrunner
ETC_20150211_005016	제작서-밴시 베일	Recipe - Banshee veil
ETC_20150211_005017	제작서-와일드 레더 글로브	Recipe - Wild Leather Gloves
ETC_20150211_005018	제작서-추종자의 레더 아머	Recipe - followers of leather armor
ETC_20150211_005019	제작서-베조 부츠	Recipe - Bejobutsu
ETC_20150211_005020	제작서-로카스 레더 아머	Recipe - locus Jerkin
ETC_20150211_005021	제작서-로카스 메일	Recipe - locus of mail
ETC_20150211_005022	제작서-로카스 로브	Recipe - locus robe
ETC_20150211_005023	제작서-네펜더스 글로브	Recipe - your fender scan Globe
ETC_20150211_005024	제작서-포 마인 아머	Recipe - For Mine Armor
ETC_20150211_005025	제작서-리에나 팬츠	Recipe - Rie and pants
ETC_20150211_005026	제작서-리에나 로브	Recipe - Rie and robe
ETC_20150211_005027	제작서-리에나 레더 팬츠	Recipe - Rie and leather pants
ETC_20150211_005028	제작서-리에나 레더 아머	Recipe - Rie and leather armor
ETC_20150211_005029	제작서-리에나 플레이트 레깅스	Recipe - Rie and plate leggings
ETC_20150211_005030	제작서-리에나 플레이트 아머	Recipe - Rie and plate armor
ETC_20150211_005031	제작서-우든 버클러	Recipe - Ugh Den Buckler
ETC_20150211_005032	제작서-우든 카이트 실드	Recipe - Ugh Den Kite shield
ETC_20150211_005033	제작서-카이트 실드	Recipe - Kite Shield
ETC_20150211_005034	제작서-라운드 실드	Recipe - Round Shield
ETC_20150211_005035	제작서-스틸 카이트 실드	Recipe - Steel Kite Shield
ETC_20150211_005036	제작서-스틸 버클러	Recipe - Steel Buckler
ETC_20150211_005037	제작서-머시너리 실드	Recipe - Machinery shield
ETC_20150211_005038	제작서-블랙 우든 실드	Recipe - Black Ugh Den shield
ETC_20150211_005039	제작서-오크 실드	Recipe - Oak Shield
ETC_20150211_005040	제작서-새비지 실드	Recipe - Savage Shield
ETC_20150211_005041	제작서-잘리아 카이트 실드	Recipe - well rear Kite shield
ETC_20150211_005042	제작서-헤비 카이트 실드	Recipe - Heavy Kite Shield
ETC_20150211_005043	제작서-비드 실드	Recipe - beads shield
ETC_20150211_005044	제작서-서클 가드	Recipe - Circle guard
ETC_20150211_005045	제작서-루다스 실드	Recipe - le dozen shield
ETC_20150211_005046	제작서-월 가드	Recipe - the moon guard
ETC_20150211_005047	제작서-포트리스	Recipe - Fortress
ETC_20150211_005048	제작서-비틀백	Recipe - Beetle back
ETC_20150211_005049	제작서-세이지 월	Recipe - Sage month
ETC_20150211_005050	제작서-아이아스	Recipe - Ajax
ETC_20150211_005051	제작서-나이프	Recipe - knife
ETC_20150211_005052	제작서-더크대거	Recipe - Dark Dagger
ETC_20150211_005053	제작서-망고슈	Recipe - mango Pradesh
ETC_20150211_005054	제작서-츄파카브라 네클리스	Recipe - Chupacabra Ne cycle squirrel
ETC_20150211_005055	제작서-스트링 네클리스	Recipe - string Nekururisu
ETC_20150211_005056	제작서-판토 탈리스만	Recipe - punt Talisman
ETC_20150211_005057	제작서-파이라이트 팬던트	Recipe - pie light pendant
ETC_20150211_005058	제작서-크리오라이트 팬던트	Recipe - cryolite pendant
ETC_20150211_005059	제작서-매직 탈리스만	Recipe - Magic Talisman
ETC_20150211_005060	제작서-스트랭스 팬던트	Recipe - Strength pendant
ETC_20150211_005061	제작서-헬스 스톤	Recipe - Health Stone
ETC_20150211_005062	제작서-워리어 팬던트	Recipe - warrior pendant
ETC_20150211_005063	제작서-퀀커러	Recipe - Kukoro
ETC_20150211_005064	제작서-페타미온	Recipe - Petamion
ETC_20150211_005065	제작서-일렉투스	Recipe - electric tooth
ETC_20150211_005066	제작서-애니무스	Recipe - Anime mousse
ETC_20150211_005067	제작서-사피에 네클리스	Recipe - and Nekururisu to Safi
ETC_20150211_005068	제작서-분노의 목걸이	Recipe - anger necklace
ETC_20150211_005069	제작서-레더 뱅글	Recipe - Leather Bangle
ETC_20150211_005070	제작서-아이언 뱅글	Recipe - Iron Bangle
ETC_20150211_005071	제작서-크리스탈 뱅글	Recipe - Crystal Bangle
ETC_20150211_005072	제작서-샤인 브레이슬릿	Recipe - Shine bracelet
ETC_20150211_005073	제작서-배틀 브레이슬릿	Recipe - Battle bracelet
ETC_20150211_005074	제작서-포이즌 뱅글	Recipe - Poison bangle
ETC_20150211_005075	제작서-플랜츠 브레이슬릿	Recipe - Plants bracelet
ETC_20150211_005076	제작서-컨트롤 뱅글	Recipe - control bangle
ETC_20150211_005077	제작서-헌터 뱅글	Recipe - Hunter bangle
ETC_20150211_005078	제작서-브레이서 오브 아처	Production manual - Buresa Of Archer
ETC_20150211_005079	제작서-위저드 브레이슬릿	Recipe - Wizard Bracelet
ETC_20150211_005080	제작서-래피드 뱅글	Recipe - Rapid bangle
ETC_20150211_005081	제작서-글래스 브레이슬릿	Recipe - Glass Bracelet
ETC_20150211_005082	제작서-글래디에이터 밴드	Recipe - Gladiator band
ETC_20150211_005083	제작서-브레이슬릿 오브 린네	Production Seo - Bracelets Of Linne
ETC_20150211_005084	제작서-포라	Recipe - Paula
ETC_20150211_005085	제작서-포레	Recipe - Faure
ETC_20150211_005086	제작서-시셀 브레이슬릿	Recipe - Sissel bracelet
ETC_20150211_005087	제작서-자카리엘 뱅글	Recipe - The Shari El bangle
ETC_20150211_005088	제작서-둥지튼 병아리	Recipe - nest tons chick
ETC_20150211_005089	코스튬을 제작할 수 있는 제작서	In making that can be made the costume
ETC_20150211_005090	제작서-강철 투구	Pitching of steel - Recipe
ETC_20150211_005091	제작서-산양 뿔	Corner of the goat - Recipe
ETC_20150211_005092	제작서-붉은 뿔	Recipe - red angle
ETC_20150211_005093	제작서-케파 인형	Recipe - Kepa doll
ETC_20150211_005094	제작서-붉은 악마날개	Recipe - red devil wings
ETC_20150211_005095	제작서-깃털 투구	Recipe - wings of pitching
ETC_20150211_005096	제작서-새싹	Recipe - bud
ETC_20150211_005097	제작서-망자의 머리띠	Recipe - undead of hair band
ETC_20150211_005098	제작서-황야의 무법자	Recipe - wilderness of Outlaws
ETC_20150211_005099	제작서-광대 모자	Recipe - vast hat
ETC_20150211_005100	제작서-왕관 머리띠	Recipe - Crown headband
ETC_20150211_005101	제작서-민트초코컵케이크	Recipe - mint chocolate cup cake
ETC_20150211_005102	글래디에이터	Gladiator
ETC_20150211_005103	로만	Only
ETC_20150211_005104	바이킹	Viking
ETC_20150211_005105	크루세이더	Crusader
ETC_20150211_005106	개인전	Solo show
ETC_20150211_005107	적절한 수준의 상대를 찾아 전장에서 대결합니다.	You confrontation on the battlefield looking for the appropriate level of opponent.
ETC_20150211_005108	정해진 팀 또는 적절한 수준의 팀을 결성하여 대결합니다.	And formed a predetermined team or an appropriate level of team and confrontation.
ETC_20150211_005109	개인전 (랭크)	Exhibition (rank)
ETC_20150211_005110	팀 (랭크)	Team (rank)
ETC_20150211_005112	일반	General
ETC_20150211_005113	시스템 전체	The whole system
ETC_20150211_005114	소드맨 전직	Advancement Swordman
ETC_20150211_005115	치트리스트	Cheat list
ETC_20150211_005116	하이랜더 전직	Highlander Advancement
ETC_20150211_005117	펠타스타 전직	Peltasta Advancement
ETC_20150211_005118	하플라이트 전직	Hoplite Advancement
ETC_20150211_005119	센츄리온 전직	Centurion Advancement
ETC_20150211_005120	바바리안 전직	Barbarian Advancement
ETC_20150211_005121	캐터프랙트 전직	Cataphract Advancement
ETC_20150211_005122	커세어 전직	Corsair Advancement
ETC_20150211_005123	도펠쥘트너 전직	Also Pell Jeu Will toner source
ETC_20150211_005124	로델레로 전직	In the Advancement Rodelero
ETC_20150211_005125	스콰이어 전직	Squire Advancement
ETC_20150211_005126	무르밀로 전직	Murumiro Advancement
ETC_20150211_005127	시노비 전직	Shinobi Advancement
ETC_20150211_005128	위저드 전직	Wizard Advancement
ETC_20150211_005129	파이로맨서 전직	Pyromancer Advancement
ETC_20150211_005130	크리오맨서 전직	Cryomancer Advancement
ETC_20150211_005131	싸이코키노 전직	Psychokino Advancement
ETC_20150211_005132	알케미스트 전직	Alchemist Advancement
ETC_20150211_005133	소서러 전직	Sorcerer Advancement
ETC_20150211_005134	링커 전직	Linker Advancement
ETC_20150211_005135	크로노맨서 전직	Cronomancer Advancement
ETC_20150211_005136	네크로맨서 전직	Necromancer Advancement
ETC_20150211_005137	쏘마터지 전직	Thaumaturge Advancement
ETC_20150211_005138	엘레멘탈리스트 전직	Elementalist Advancement
ETC_20150211_005139	미믹 전직	Mimic Advancement
ETC_20150211_005140	도사 전직	Tosa source
ETC_20150211_005141	아처 전직	Archer Advancement
ETC_20150211_005142	레인저 전직	Ranger Advancement
ETC_20150211_005143	쿼렐슈터 전직	Quarrel Shooter source
ETC_20150211_005144	헌터 전직	Hunter Advancement
ETC_20150211_005145	새퍼 전직	Sapper Advancement
ETC_20150211_005146	무고사 전직	Mugosa Advancement
ETC_20150211_005147	하카펠 전직	Hackapell source
ETC_20150211_005148	스카우트 전직	Scout Advancement
ETC_20150211_005149	로그 전직	Log source
ETC_20150211_005150	슈바르츠라이터 전직	Black writer source
ETC_20150211_005151	플레쳐 전직	Fletcher source
ETC_20150211_005152	파이드파이퍼 전직	Pied Piper source
ETC_20150211_005153	감정사 전직	Appraisers Advancement
ETC_20150211_005154	클레릭 전직	Cleric source
ETC_20150211_005155	프리스트 전직	Priest Advancement
ETC_20150211_005156	크리비 전직	Cree non-Advancement
ETC_20150211_005157	보코르 전직	Bokor source
ETC_20150211_005158	드루이드 전직	Druid Advancement
ETC_20150211_005159	사두 전직	Sadu source
ETC_20150211_005160	딥디르비 전직	Dievdirby Advancement
ETC_20150211_005161	오라클 전직	Oracle source
ETC_20150211_005162	몽크 전직	Monk Advancement
ETC_20150211_005163	파드너 전직	Pardoner change jobs
ETC_20150211_005164	팔라딘 전직	Paladin Advancement
ETC_20150211_005165	군목 전직	Pastor source
ETC_20150211_005166	양치기 전직	Shepherd source
ETC_20150211_005167	글로벌 젠 불가능 지역 토글	Global Jen impossible region switching
ETC_20150211_005168	대두 모드	Soybean mode
ETC_20150211_005169	무적상태	Invincible state
ETC_20150211_005170	무적상태 해제	Invincible state release
ETC_20150211_005171	좀비상태	Zombie state
ETC_20150211_005172	좀비상태 해제	Zombie state release
ETC_20150211_005173	오브젝트 상태 보기	View the status of the object
ETC_20150211_005174	오브젝트 상태 안보기	State of the object Anbogi
ETC_20150211_005175	네비 카메라 ON(F11)	Navi camera ON (F11)
ETC_20150211_005176	네비 카메라 OFF(F12)	Navi camera OFF (F12)
ETC_20150211_005177	HP 모두회복	HP all recovery
ETC_20150211_005178	SP 모두회복	SP all recovery
ETC_20150211_005179	STA 감소 없음	None STA decrease
ETC_20150211_005180	이동속도 변경(10)	Change of movement speed (10)
ETC_20150211_005181	이동속도 변경(500)	Change of movement speed (500)
ETC_20150211_005182	이동속도 변경(1000)	Change of movement speed (1000)
ETC_20150211_005183	경험치 증가(+ 1천)	Experience value increase (+ 1 thousand)
ETC_20150211_005184	경험치 증가(+ 1만)	Experience value increase (+ 1 only)
ETC_20150211_005185	경험치 증가(+ 10만)	Experience value increase (+ 100 000)
ETC_20150211_005186	네비메시 토글	Navi mesh toggle
ETC_20150211_005187	네비미니맵 만들기	Creation of Navi mini map
ETC_20150211_005188	카메라 네비메시 토글	Camera Navi mesh switching
ETC_20150211_005189	네비 카메라락 토글	Navi camera lock switch
ETC_20150211_005190	OBB 토글	OBB toggle
ETC_20150211_005191	장비 전체 수리	Of the entire equipment repair
ETC_20150211_005192	헤어변경	Hair change
ETC_20150211_005193	시스템	System
ETC_20150211_005194	일반속성	General properties
ETC_20150211_005195	아이템이름	Item name
ETC_20150211_005196	아이템속성	Property of the item
ETC_20150211_005197	아이템 설명	Item Description
ETC_20150211_005198	몬스터 이름	The name of the monster
ETC_20150211_005199	몬스터 속성	Monster Element
ETC_20150211_005200	몬스터 레벨	Level of monsters
ETC_20150211_005201	추가 데미지	Additional damage
ETC_20150211_005202	전투 속성	Combat attribute
ETC_20150211_005203	추가 방어력	Additional defense force
ETC_20150211_005204	추가 체력	Additional strength
ETC_20150211_005205	대 몬스터데미지비율	Percentage of damage of large monsters
ETC_20150211_005206	공격속도	Attacking speed
ETC_20150211_005207	최소 사정거리	Minimum range distance
ETC_20150211_005208	최대 사정거리	Maximum range distance
ETC_20150211_005209	넉다운 파워	Knock down power
ETC_20150211_005210	KP(넉다운방어)	KP (knock down defense)
ETC_20150211_005211	걷는속도	speed walking
ETC_20150211_005212	이동 속성	Move attribute
ETC_20150211_005213	뛰는속도	Beat speed
ETC_20150211_005214	고정스킬번호	Fixed number skills
ETC_20150211_005215	애니 디버그	Anime debug
ETC_20150211_005216	포지션	Position
ETC_20150211_005217	스케일고정	Scale fixed
ETC_20150211_005218	스킬데미지	Skill Damage
ETC_20150211_005219	데미지 관련	Damage related
ETC_20150211_005220	스킬 타이밍	Skill timing
ETC_20150211_005221	스킬이름 이름	The name of the skill name
ETC_20150211_005222	스킬 속성	Skill attribute
ETC_20150211_005223	소모SP	Consumption SP
ETC_20150211_005224	스플래쉬	Splash
ETC_20150211_005225	캐스팅 시간	Casting time
ETC_20150211_005226	캐스트 애니속도	Cast animation speed
ETC_20150211_005227	쿨 다운 그룹	Cool down group
ETC_20150211_005228	쿨 다운	Cool down
ETC_20150211_005229	쿨 다운 시간	The cool-down period
ETC_20150211_005230	오버 히트 그룹	Over-hit groups
ETC_20150211_005231	오버 히트 사용량	Over-hit usage
ETC_20150211_005232	오버 히트 딜레이	Over-hit delay
ETC_20150211_005233	죽일때 적다운파워	The enemy down power when it is killed
ETC_20150211_005234	죽기 관련	Die-related
ETC_20150211_005235	죽일때 넉다운각도	knock-down angle when you kill
ETC_20150211_005236	힛딜레이	Hip delay
ETC_20150211_005237	죽일때 힛딜레이	hit delay to kill
ETC_20150211_005238	썰리기파일이름	Slice preprocessor file name
ETC_20150211_005239	오버히트시간	Over-hit time
ETC_20150211_005240	쿨다운속성	Cool down the property of
ETC_20150211_005241	시간감소타입	Time of shortening type
ETC_20150211_005242	직업능력치	Vocational ability value
ETC_20150211_005243	정신	SPR
ETC_20150211_005244	3D몬스터죽는시간	The 3D monsters die time
ETC_20150211_005245	제자리에서 죽기	I die in a predetermined position
ETC_20150211_005246	죽는 애니	anime die
ETC_20150211_005249	키보드 이동 tip	Move tip of keyboard
ETC_20150211_005250	방향키를 이용하여 캐릭터를 이동시킬 수 있습니다.	Use the arrow keys to move your character.
ETC_20150211_005251	점프 tip	Jump tip
ETC_20150211_005252	X 키를 눌러서 점프할 수 있습니다.	Use X key to jump.
ETC_20150211_005253	키보드 공격 tip	Keyboard of attack tip
ETC_20150211_005254	Z 키를 눌러서 공격할 수 있습니다. 	Use Z key to attack.
ETC_20150211_005255	스탯(힘) tip	Stats (STR) tip
ETC_20150211_005256	힘 스탯은 물리 공격력과 치명타 공격력을 증가시킵니다. 	STR increases physical and critical attack damage.
ETC_20150211_005257	스탯(체력) tip	Stats (CON) tip
ETC_20150211_005258	체력 스탯은 HP와 HP 회복력, 휴대 가능무게, 치명타 저항, 방패의 블럭율을 증가 시킵니다.	CON increases HP, HP recovery, inventory weight availbale, critical resistance, and shield block rate.
ETC_20150211_005259	스탯(지능) tip	Stats (INT) tip
ETC_20150211_005260	지능 스탯은 마법 공격력을 증가시킵니다.	INT increases spell damage.
ETC_20150211_005261	스탯(정신) tip	Stat (SPI) tip
ETC_20150211_005262	정신 스탯은 SP와 SP회복력을 증가시킵니다.	SPR increases SP and SP recovery.
ETC_20150211_005263	스탯(민첩) tip	Stat (DEX) tip
ETC_20150211_005264	민첩 스탯은 명중과 치명타 발생, 회피를 증가시킵니다.	DEX increases chance of critical hit and evasion.
ETC_20150211_005265	연속공격 tip	Continuous attack tip
ETC_20150211_005266	Z 키를 계속 누르고 있으면 공격이 연속됩니다.	Hold down the Z key to attack continuously.
ETC_20150211_005267	스태미나 tip	Stamina tip
ETC_20150211_005268	STA 가 0이 되면 캐릭터는 뛰지 못합니다. 	When STA is 0, character cannot run.
ETC_20150211_005269	STA 회복 tip	STA recovery tip
ETC_20150211_005270	필드에 등장하는 나무뿌리 수정을 파괴하거나 스태미나 알약을 사용하면 STA 회복을 할 수 있습니다.	Destroy Tree roots crystals or use the stamina pills to recover STA.
ETC_20150211_005271	오버킬 tip	Overkill tip
ETC_20150211_005272	같은 레벨의 몬스터에게 HP의 2배 이상 대미지를 입히면 오버킬이 발동되며 경험치 보너스가 주어집니다.	When the monster is the same level and attack damage is twice the monster's HP, overkill is triggered and you earn bonus EXP.
ETC_20150211_005273	휴식모드 tip	Break mode tip
ETC_20150211_005274	Insert 키를 눌러서 휴식할 수 있습니다. 휴식모드에선 HP, SP, STA의 회복력이 향상됩니다.	You can rest by pressing the Insert key. During rest mode, HP, SP, STA recovery increases.
ETC_20150211_005275	모닥불 tip	Bonfire tip
ETC_20150211_005276	휴식중 모닥불을 피우면 그 주변의 휴식중인 모든 캐릭터의 회복량이 더 상승합니다.	If you make bonfire during rest mode, recovery of all the characters resting around the bonfire will also increase.
ETC_20150211_005277	제작 tip	Production tip
ETC_20150211_005278	제작서와 재료 아이템을 갖고 있다면 휴식모드에서 아이템을 제작할 수 있습니다.	You can craft items in rest mode if you have recipe and matrials
ETC_20150211_005279	강화 tip	Upgrade tip
ETC_20150211_005280	모루를 사용하여 무기와 방어구 아이템을 강화할 수 있습니다.	You can use the anvil to upgrade weapons and armors.
ETC_20150211_005281	포텐셜 tip	Potential tip
ETC_20150211_005282	아이템의 포텐셜은 유저간 거래, 소켓 추가, 매직 어뮬렛 장착 또는 강화실패 시 감소합니다.	Item Potential decreases by trading item, adding sockets, equipting amulets, or failing to upgrade.
ETC_20150211_005283	채팅창 tip	Chat window tip
ETC_20150211_005284	엔터키를 눌러 채팅 입력창을 열 수 있습니다. 채팅이 끝난 뒤 엔터키를 다시 눌러 채팅 입력창을 닫을 수 있습니다.	Press the Enter key, you can open a chat input window. After the chat is over, press the Enter key, you can close the chat input window.
ETC_20150211_005285	확성기 tip	Megaphone tip
ETC_20150211_005286	채팅창에 /y 를 먼저 쓰면 월드 전체에 메세지를 전할 수 있습니다. 확성기 아이템이 필요합니다.	Entering /y before your chat broadcasts your message. Megaphone is concumed. 
ETC_20150211_005287	수리 tip	Repair tip
ETC_20150211_005288	도시에 있는 대장장이를 통해 내구도가 떨어진 장비 아이템을 수리할 수 있습니다.	You can repair equipments with low durability through the blacksmiths located in town.
ETC_20150211_005289	상점이용 tip	Shop System tip
ETC_20150211_005290	도시에 있는 상인들을 통해 아이템을 사거나 팔 수 있습니다.	You can buy and sell items through the merchants in town.
ETC_20150211_005291	돌아가기 tip	Go Back tip
ETC_20150211_005292	퀘스트 완료 후 백 스페이스키 또는 돌아가기 아이콘을 이용하여 완료 NPC 앞으로 이동할 수 있습니다.	You can go back to the quest NPC immediately by using 'backspace' key or pressing the 'Go back' button.
ETC_20150211_005293	특성 tip	Attributes tip
ETC_20150211_005294	마스터 NPC에게 직업별 특성을 학습할 수 있습니다. 각 지역에 있는 마스터 NPC를 찾아보세요.	You can learn job-specific attributes from the Master NPC's. Find the Master NPC's in each area.
ETC_20150211_005295	대박 몬스터 tip	Jackpot monster tip
ETC_20150211_005296	반짝이는 몬스터는 다른 몬스터보다 열 배 이상 많은 아이템이 나올 수 있습니다.	Shiny Monster drop items up to more than ten times the normal monsters. 
ETC_20150211_005297	마을 tip	Town tip
ETC_20150211_005298	마을에는 다양한 상인 또는 각 클래스의 마스터 NPC 들이 자리하고 있습니다.	Various merchants and Class Masters are located in town.
ETC_20150211_005299	워프 이동_1 tip	Warp move_1 tip
ETC_20150211_005300	바카리네 여신상을 통해 다른 지역으로 이동 할 수 있습니다.	You can move to other areas through Goddess Vakarine Statue
ETC_20150211_005301	워프 이동_2 tip	Warp move_2 tip
ETC_20150211_005302	워프 주문서를 이용하면 주변에 바카리네 여신상이 없어도 다른 지역으로 이동 할 수 있습니다.	You can move to other areas using the Warp Scroll if there is no Goddess Vakarine Statue nearby.
ETC_20150211_005303	보물상자 tip	Treasure Chest tip
ETC_20150211_005304	모험을 하다 보면 숨겨진 보물상자를 발견할 수 있습니다. 어떤 보물상자는 그 레벨에 맞는 열쇠가 필요할 수 있습니다.	Duirng your adventure, you can find hidden treasure chests. Some treasure chests may require keys that match the level.
ETC_20150211_005305	동영상 촬영 tip	Video recording tip
ETC_20150211_005306	F12 키를 눌러 게임의 동영상을 저장할 수 있습니다.	Press F12 to save a video of the game.
ETC_20150211_005307	스크린샷 tip	Screenshot tip
ETC_20150211_005308	Print Screen 키를 눌러 스크린샷을 저장할 수 있습니다. 	Press the Print Screen key, you can save the screen shot.
ETC_20150211_005309	캐릭터 정보 tip	Character information tip
ETC_20150211_005310	F1 키를 이용하여 캐릭터의 정보를 확인할 수 있습니다.	You can check the character information using the F1 key.
ETC_20150211_005311	인벤토리 tip	Inventory tip
ETC_20150211_005312	F2 키를 이용하여 인벤토리를 열어 소지하고 있는 아이템 및 실버를 확인할 수 있습니다.	You can use the F2 key, you can check the items and silver for which you have to open the inventory.
ETC_20150211_005313	클래스와 스킬, 특성 tip	Classes, Skills, and Attributes tip
ETC_20150211_005314	F3 키를 이용하여 클래스와 스킬, 특성 정보를 확인할 수 있습니다.	You can view the class, skill, and attribute information using F3 key.
ETC_20150211_005315	모험일지 tip	Adventure diary tip
ETC_20150211_005316	F4 키를 이용하여 현재까지 플레이하며 누적된 기록을 확인 할 수 있습니다.	You can check the cumulative record of your gameplay using the F4 key.
ETC_20150211_005317	퀘스트 tip	Quest tip
ETC_20150211_005318	F5 키를 이용하여 현재 진행중인 퀘스트 정보를 확인 할 수 있습니다.	You can check ongoing quest information using the F5 key.
ETC_20150211_005319	파티 tip	Party tip
ETC_20150211_005320	F6 키를 이용하여 파티 정보를 확인할 수 있습니다.	You can check party information using the F6 key.
ETC_20150211_005321	파티 방법 tip	Party way tip
ETC_20150211_005322	타 캐릭터에 마우스 오른쪽 키를 눌러 파티 초대를 할 수 있습니다. 초대 받은 유저가 수락하면 파티를 맺고 같이 플레이할 수 있습니다. 	Right click on other player's character to send party invitation. When the invitation is accepted, you can play together as a party.
ETC_20150211_005323	공개 파티 목록 tip	Public Party List tip
ETC_20150211_005324	게임내 생성 되어 있는 파티의 목록을 표기 합니다. 가입하고자 하는 파티목록을 클릭하면 해당 파티에 가입 할 수 있습니다.	It shows the list of parties in the game. Click on the list to join the party.
ETC_20150211_005325	친구 목록 tip	Friends List tip
ETC_20150211_005326	F7 키를 누르면 친구 목록 정보를 확인할 수 있습니다.	Press F7 to see Friend List information.
ETC_20150211_005327	포즈 tip	Pose tip
ETC_20150211_005328	F8 키를 눌러 포즈를 취하거나 매크로를 등록할 수 있습니다.	Press F8 key to pose or register macro. 
ETC_20150211_005329	컴패니언 정보 tip	CompanionIinformation tip
ETC_20150211_005330	F9 키를 누르면 현재 컴패니언의 상태를 볼 수 있습니다.	Press the F9 key to view the current status of companion.
ETC_20150211_005331	도움말 tip	Help tip
ETC_20150211_005332	F10 키를 이용하여 도움말 목록을 확인 할 수 있습니다.	You can view the help list using F10 key.
ETC_20150211_005333	컴패니언 tip	Companion tip
ETC_20150211_005334	컴패니언 상인 NPC를 통해 컴패니언을 분양 받거나 성장시킬 수 있습니다.	You can adopt or train companions through Companion Merchant NPC
ETC_20150211_005335	유저 거래 tip	User Trade tip
ETC_20150211_005336	다른 유저에 마우스 오른쪽 클릭을 눌러 거래 신청을 할 수 있습니다.	Right click on another player to make trade requests. 
ETC_20150211_005337	지역 맵 tip	Area Map tip
ETC_20150211_005338	M 키를 이용하여 현재 지역 맵을 확인할 수 있습니다.	You can check the current area map using M key.
ETC_20150211_005339	월드 맵 tip	World map tip
ETC_20150211_005340	N 키를 이용하여 월드 맵을 확인할 수 있습니다.	You can check world map using the N key.
ETC_20150211_005341	부활 tip	Revival tip
ETC_20150211_005342	캐릭터가 전투불능 상태가 되면 착용중인 장비아이템의 내구도가 감소합니다.	Durability of equipped items decrease when the character becomes Incapable of Combat
ETC_20150211_005343	전직 tip	Advancement tip
ETC_20150211_005344	전직할 수 있는 클래스 레벨까지 도달하게 되면, 다른 클래스 또는 현재와 같은 클래스로 다시 전직할 수 있습니다. 	When you reach max class level, you can Advance to the same or different class. 
ETC_20150211_005345	미션 tip	Mission tip
ETC_20150211_005346	용병 의뢰소에서 구입한 미션 아이템을 사용하면 포탈을 열어 미션에 입장할 수 있습니다.	Use the mission item purchased from the mercenary commision to open the portal and enter mission. 
ETC_20150211_005347	필드 보스 tip	Field boss tip
ETC_20150211_005348	일부 지역에선 때때로 필드 보스가 등장할 수 있습니다.	Boss monsters may appear in some areas.
