QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_000853	다른 장치들은 찾아보셨습니까?	7777
QUEST_20150211_000854	대성당은 660년전 실베스트로 메이번님의 주도로 건설됐습니다.	Cathedral, was built in the eyes of this time like led to 660 years ago room best.
QUEST_20150211_000855	마군주 나크티스가 대성당에 있는 계시를 훔치기 위해서 이곳에 있는 겁니다.	7778
QUEST_20150211_000856	성당 책상	Cathedral desk
QUEST_20150211_000857	...루크리스가 대성당에서 나의 가르침을 받은지 3년이라는 시간이 흘러서야...	... What a time that Luke lease three years received my professor at the Cathedral flows ...
QUEST_20150211_000858	 ...내전이 발발한지 2년만에 나의 첫번째 제자 루클리스는 사망하고 만...	... Two years after the civil war broke out in my first disciple Lou Cleveland seuneun killed and only ...
QUEST_20150211_000859	 ...리디아 샤펜이 대성당을 떠난진 1년이 지나...	... Lydia syapen one years later, when Jean left the Cathedral ...
QUEST_20150211_000860	...3명의 제자 중 아가일라 플러리는...	In the Argyle and Fleury of ... 3 disciples ...
QUEST_20150211_000861	예로부터 이 도시에선 여신께 올리는 소원을 담아 도자기를 빚어왔지.{nl}실종된 여신들께서 돌아오신다면 이 재난도 끝나지 않을까..	From a long time ago in this town you've charged with pottery and the hope to raise to the goddess. {Nl} if it was returned missing to the goddess in a manner that has become is, Would not this disaster also end.
QUEST_20150211_000862	첫번째 장치는 메일레 경당에 있습니다.	7779
QUEST_20150211_000863	첫번째 장치를 풀기 위해선 메밀레 경당 앞에 있는 촛대에 불을 켜야 합니다.	7780
QUEST_20150211_000864	나크티스의 부하들이 메이번님이 만드신 장치를 파괴해 그 안에 있던 물건을 가지고 가버렸습니다. 부하들을 처치해 회수하셔야 합니다.	7781
QUEST_20150211_000865	대성당 제단	7782
QUEST_20150211_000866	물방울 모양의 홈이 파여있다.	7783
QUEST_20150211_000867	동그란 모양의 홈이 파여있다.	7784
QUEST_20150211_000868	주교님을 모셔드렸습니다.	I was welcomed Bishop.
QUEST_20150211_000869	몬스터들입니다. 도망치십시오.	Is monster. Flee.
QUEST_20150211_000870	메이번의 장치	Mei winding device
QUEST_20150211_000871	주교가 말한 메이번의 장치.{nl}작은 열쇠구멍이 보인다.	Mei times device bishop said. {Nl} small keyhole is visible.
QUEST_20150211_000872	푸른 폰델	Blue Ponderu
QUEST_20150211_000873	뭐 때문에 그래?	So for the sake of what?
QUEST_20150211_000874	거짓말 하는거 아냐?	Not you lie?
QUEST_20150211_000875	검은 폰드	Black pound
QUEST_20150211_000876	왜 그래?{nl}너 수상한대?	Why so? {Nl} large you won?
QUEST_20150211_000877	네 말 믿어도 돼?	Believe your words?
QUEST_20150211_000878	나크티스	Nakutisu
QUEST_20150211_000879	인간 따위에게 계시를 넘길 순 없다!	Can not human beings something to be passed a revelation!
QUEST_20150211_000880	대성당 계시	Obviously Cathedral
QUEST_20150211_000881	계시 해석 내용.	The contents of clearly interpreted.
QUEST_20150211_000882	당신의 시대에서 천 년 전.{nl}제가 이 계시를 자카리엘에게 맡기기 전의 이야기입니다.{nl}	Thousand years ago from your era. {Nl} is before I you leave a revelation to Zasharieru story. {Nl}
QUEST_20150211_000883	자카리엘이 새 왕국을 세우려 했을 때, 이 땅은 혼돈뿐이였습니다.{nl}단 한 곳만이 생명력으로 가득했기에 자카리엘은 그 땅을 원했습니다.{nl}	Zasharieru, when it tried to Arise the new kingdom, the land was only chaos. {Nl} Because only one place is full of vitality Zasharieru is, wanted the land. {Nl}
QUEST_20150211_000884	하지만 그 곳에서 제가 본 미래는 많은 한탄과 죽음이였지요.{nl}때문에 건국 천년제를 맞이하면, 반드시 수도를 이전하라는 예언을 남겼습니다.{nl}	However, the future that I saw in that place, I did a lot of grief and death. When greet the founding thousand year for {nl}, there is always a possibility, it has left a prophecy to previous. {Nl}
QUEST_20150211_000885	그러나 예언을 이행하는 것은 결국 인간의 몫. {nl}어떠한 결말을 가져올지는 안개속에 가려져 있습니다.{nl}	However, carrying out the prediction, eventually, human share. {Nl} and has been shrouded in fog that brings what outcome. {Nl}
QUEST_20150211_000886	다음 계시에서 그 결말의 끝을 남기려 합니다.{nl}마법사의 탑에서 저의 계시를 찾아 주세요.	In the next revelation, I will try to leave the end of the ending. Please find my revelation in the tower of {nl} wizard.
QUEST_20150211_000887	라이마	Lima
QUEST_20150211_000888	다음 장치가 있는 곳으로 이동하시죠.	7785
QUEST_20150211_000889	여신을 모시던 곳이 이젠 마족들로 넘처나다니 대성당 초대 주교인 메이번님이 슬퍼하실 겁니다.	As a result of worship goddess will be Nomucho hang out Cathedral invitation bishop of the main this time like a sad anymore Asmodian us.
QUEST_20150211_000890	두번째 장치가 있는 곳에 홈이 파인 제단이 있습니다. 그 제단들과 연관이 있지 싶습니다.	7786
QUEST_20150211_000891	일단 준비하시오. 우드고블린이 공격해올 거요.	Once please preparation. I wood goblins have attack.
QUEST_20150211_000892	여신을 모시는 대성당이 이젠 마족의 소굴로 변해버렸다니...	Nante cathedral to worship the goddess has changed the den of another Asmodian ...
QUEST_20150211_000893	열쇠군요. 베이니키 제단으로 이동하십시오. 베이니키 제단에 메이번님의 장치가 있습니다.	It is the key. Please go to the bay Nicky altar. There eyes this time-like device into the bay Nicky altar.
QUEST_20150211_000894	나크티스의 부하들이 움직임이 분주해졌습니다. 	Load of Nakutisu movement reblogged efforts.
QUEST_20150211_000895	베이니카 제단에 있는 장치를 푸는 열쇠가 아닐까 싶습니다.	I think that it is the key to solving the devices in a bay sneakers altar.
QUEST_20150211_000896	다음 장치는 베이니카 제단에 있습니다.	The following devices are located in the bay sneakers altar.
QUEST_20150211_000897	약이 제발 효과가 있어야 하는데..	But should medicine is the dynamic effect ..
QUEST_20150211_000898	게발 약효가 있어야 할텐데	Gebaru medicinal needs Harutende
QUEST_20150211_000899	음식.. 음식을 가지고 오셨나요?	Did you bring the food .. food?
QUEST_20150211_000900	음식을 먹어도 먹어도 배고픈 순례자를 보셨다고요?{nl}그 순례자도 나크티스의 저주 때문에 먹어도 먹어도 허기를 채워지지 못하는 겁니다.	They say do to eat to eat the food saw the pilgrims hungry? {Nl} the pilgrims also to eat to eat for the curse of Nakutisu will not satisfy the hunger.
QUEST_20150211_000901	으으.. 제가 뭘 먹은거죠?{nl}속이 울렁거립니다.	East and west .. Do I have what to eat? Goripunida that revolting is in the {nl}.
QUEST_20150211_000902	약효가 있어야 할텐데..	Even though there is no need medicinal ..
QUEST_20150211_000903	속이 울렁거린다고요?{nl}순례자들의 반응을 보면 정말 약효가 있는지 없는지 모르겠군요.	and me make a to deceive Ururon? {Nl} If you look at the reaction of the pilgrimage, and I do not really know whether there are medicinal.
QUEST_20150211_000904	약을 드리겠습니다.{nl}이 약을 순례자에게 사용하십시오.	I do medicine. {Nl} Please use this medicine to pilgrims.
QUEST_20150211_000905	이제 주교님의 시신을 묻으러 가야겠습니다.	And you will have to go bury the bishop of bodies now.
QUEST_20150211_000906	당신덕분에 주교님을 묻어드릴수 있었습니다. 감사합니다.	I've been give to fill a bishop in your favor. Thanks you.
QUEST_20150211_000907	빨간색 구슬	Red ball
QUEST_20150211_000908	빨간 빛을 내뿜고 있다.	I'm spitting out red light.
QUEST_20150211_000909	파란색 구슬	Blue beads
QUEST_20150211_000910	파란 빛을 내뿜고 있다.	I'm spitting out blue light.
QUEST_20150211_000911	노란색 구슬	Yellow beads
QUEST_20150211_000912	노란 빛을 내뿜고 있다.	I'm spitting out yellow light.
QUEST_20150211_000913	초록색 구슬	Green beads
QUEST_20150211_000914	초록 빛을 내뿜고 있다.	I'm spitting out green light.
QUEST_20150211_000915	보라색 구슬	MurasakiTama
QUEST_20150211_000916	보라 빛을 내뿜고 있다.	I have washed away the violet.
QUEST_20150211_000917	나크티스의 부하에게 메이번님의 장치 위치를 알려줄 때 입니다.	The load of Nakutisu it is time you told me the eye positions of this time-like device.
QUEST_20150211_000918	메이번님의 장치는 쉽게 파괴되지 않을 겁니다. 그렇다고 영원히 파괴되지 않다고 말 할수 있는 상황이 아닙니다.	Menu this time-like device, will not be easily broken. To say it is not a situation that can be said that it is not destroyed forever.
QUEST_20150211_000919	나크티스의 부하들은 자신의 메이번님의 장치 안에 있는 물건에 엄청난 집착을 보이고 있으니깐요..	Load of Nakutisu is because is showing their mail, a great deal of attention to what is in this time of like equipment.
QUEST_20150211_000920	나크티스의 부하들은 메이번님의 장치 안에 있는 물건에 엄청난 집착을 보이고 있습니다.	Load of Nakutisu has shown a tremendous commitment to what is in the eye this time-like devices.
QUEST_20150211_000921	마지막 열쇠를 찾으셨습니까?	Did you find the last key?
QUEST_20150211_000922	나크티스의 부하들이 가지고 갔다면 마지막 열쇠는 나크티스의 손에 있을 겁니다.	If the load of Nakutisu took, the last key will be in the hands of Nakutisu.
QUEST_20150211_000923	우리가 열쇠를 가지고 있다는 걸 나크티스의 부하들이 나크티스에게 보고를 했습니다. 	that we have a key load of Nakutisu reblogged reported to Nakutisu.
QUEST_20150211_000924	빛을 내는 구슬과 열쇠들..	Incandescent beads and key ..
QUEST_20150211_000925	빛을 내는 구슬과 열쇠들의 색.. 서로 연관관계가 있어 보입니다.	It looks like there is a relevance to the color .. each other incandescent beads and key.
QUEST_20150211_000926	장치가 해제된거 같다.	7787
QUEST_20150211_000927	저흰 순례자의 길에 퍼진 나크티스의 저주를 풀기 위해서 파견된 사제들입니다.{nl}대성당엔 마족과 마족들의 저주에 대한 문서가 많습니다. 현재 저흰 대성당에서 문서를 찾고 있었습니다.	This is the priest was sent to solve the Nakutisu curse of that has spread to the road of Jofuin pilgrims. {Nl} There is a document of the curse of the cathedral circle Asmodian and Elyos. I was looking for a document in the current Jofuin Cathedral.
QUEST_20150211_000928	발판 모두를 눌러놓고 있어야 장치가 해제됩니다.	Necessary device Keep in press all scaffolding will be canceled.
QUEST_20150211_000929	상자에 담겨있는 폭탄을 가져가십시오. 왕릉 입구를 꼭 파괴해야합니다.	Please bring a bomb that is included in the box. I will always destroy the entrance of the king tomb.
QUEST_20150211_000930	사람 살려!	Taking advantage people!
QUEST_20150211_000931	경고	Caveat
QUEST_20150211_000932	멈춰! 허가 없이는 이 앞을 지날 수 없다! 	Stop! It is impossible to pass through the ahead without permission!
QUEST_20150211_000933	뭐? 아직 미숙해 보이지만 우리에겐 큰 도움이 될 것 같이 보이는데? {nl}이 길 뒤로 쭉 가다보면 장교님을 뵐 수 있을 거야.	What? It looks still immature, but it looks as if a big help for us? {Nl} When much advance in this road behind, you might be able to meet the officer's.
QUEST_20150211_000934	이럴.. 수가..! 눈앞에서 계시를 놓치다니..!!{nl}이건 결코 끝이 아니다! 기억해라!	Such .. number ...! The Nante missed the revelation in front of the eyes! {Nl} This is not the end never! Remember!
QUEST_20150211_000935	그럼 시험을 시작하겠습니다.	Okay then, let's start the experiment.
QUEST_20150211_000936	썩은 음식	Rotten food
QUEST_20150211_000937	왠지 먹으면 안 될 것 같은 느낌의 감자 만두. 먹어볼까?	Potato dumplings that feels like it shouldn't be eaten. Shall we eat it?
QUEST_20150211_000938	썩었다.	Rotten.
QUEST_20150211_000939	보존식	Preservative food
QUEST_20150211_000940	말리거나 소금에 절인 보존식이다. 그냥 먹을 수 없을 것 같다.	It's preserved food that is dried or salted. Doesn't seem edible alone.
QUEST_20150211_000941	술	Liquor
QUEST_20150211_000942	술 냄새만 잔뜩 난다.	Just smells like liquor
QUEST_20150211_000943	탐색	Explore
QUEST_20150211_000944	수정광산 3층에서만 사용될 것 같다..	Seems like it can be used only in Crystal Mine 3rd Gallery..
QUEST_20150211_000945	흙 밑에서 종이 한 장을 발견했다.	Found a piece of paper underneath the soil.
QUEST_20150211_000946	더 먹으면 왠지 위험할 것 같다.	Eating more seems to be a dangerous move.
QUEST_20150211_000947	왠지 배 속이 위험하다.	Feels like your belly is dangerous.
QUEST_20150211_000948	우욱..	Ooopp..
QUEST_20150211_000949	다신 절대로 먹고 싶지 않다.	I don't want to eat it ever again.
QUEST_20150211_000950	이건 절대 위험하다. 올라올 것 같다!!	This is absolutely dangerous. Seems like it's going to come up!
QUEST_20150211_000951	볼만한 책이 많아 보인다. 어떤 책을 읽어 볼까?	There seems to a lot of interesting books. Which one shall we read?
QUEST_20150211_000952	깊은 숲의 경이	Wonders of the deep forest
QUEST_20150211_000953	숲의 가장 깊은 곳에는 목적 불명의 목조 부엉이 조각상이 굉장히 많이 세워져 있다.{nl}	The deepest of forest, purpose unknown wooden owl image is erected so many. {Nl}
QUEST_20150211_000954	숲의 주민들 사이에선 어떤 조각가가 죽은 이의 영혼을 인도하기 위해 조각상을 만들었다는 전설이 전해지고 있다.{nl}	In between the inhabitants of the forest, have transmitted a legend that some of the sculptor made the image in order to guide the soul of the dead person. {Nl}
QUEST_20150211_000955	무려 수백 년을 은둔하면서 지금도 계속해서 만들어지고 있다고.	What while isolating the hundreds of years, it is also continuously performed today.
QUEST_20150211_000956	왕국의 폐도	Also the Kingdom of lung
QUEST_20150211_000957	왕국 건국 천 년을 맞아 천년제가 개최되었다. {nl}	Now in its kingdom founding thousand years, a thousand years festival was held. {Nl}
QUEST_20150211_000958	그로부터 약 100년 뒤, 수도의 중앙에 있던 신수가 솟아올랐고, 세상이 식물에 침탈되는 대재앙이 발생하였다.{nl}	Years later about 100, up springing there was God beast in the center of the capital, the world is a large disaster has occurred, which is usurpation in the plant. {Nl}
QUEST_20150211_000959	수도에 살던 사람들의 비탄에 가득 찬 울부짖음과 비명이 더는 수도가 아닌 폐도의 밤을 울렸다.	Cries and screams filled with sorrow of the people who lived I rang the longer likely there is also no lung night in the capital.
QUEST_20150211_000960	괴물지	Or monster
QUEST_20150211_000961	신수의 날 이전의 세계는 부베 따위가 전부였다.{nl}	Before the Divine Day, it was just Vubbes. {Nl}
QUEST_20150211_000962	하지만 신수의 날 이후, 식물의 특징이 뚜렷하며 성질이 매우 흉폭한 몬스터가 대량으로 발생하였다.	However, after the day of God Beast, the characteristics of the plant is clear and nature was very ferocious monster mass occurs.
QUEST_20150211_000963	샤울레이 산업사	Siauliai Ind
QUEST_20150211_000964	샤울레이 지역의 주요 산업은 광업으로 수정광산에서 채굴되는 수정이 특산품이다.{nl}	Major industries of Shaururei region fixes that are mined in modified mine in mining is a specialty. {Nl}
QUEST_20150211_000965	현재는 수정광산 1광구만 채굴되고 있지만 원래 수정광산은 두 개의 광산으로 운영되었다.{nl}	Currently has been modified mine one mining area ten thousand mining, original fix mine was operated by two of mine. {Nl}
QUEST_20150211_000966	그중 수정광산 2광구는 강력한 마족을 봉인하기 위해 클라페다 주교령으로 폐쇄되었고 이를 위해 마을에 알케미스트가 상주하고 있다.	Modify mine 2 mining area in which is closed to the Klaipeda State decree in order to seal a powerful Asmodian, Alchemist in town for the resides.
QUEST_20150211_000967	신학 대전	Summa Theologica
QUEST_20150211_000968	바카리네 여신상은 모든 것이 아름답지만, 여신상의 특별한 힘을 사용할 수 있다면 신들이 사는 세계로 갈 수 있다는 점이 가장 아름답다.	Everything about the Statue of Vakarine is beautiful but the most beautiful thing about it is that you can go to the world where the Gods live when you use special powers, 
QUEST_20150211_000969	커닝햄의 전설	Legend of Cunningham
QUEST_20150211_000970	사람들의 기억 속에서 잊힐 정도로 아주 오래된 이야기다.{nl}	It's a very old story about Itohiru in memory of people. {Nl}
QUEST_20150211_000971	커닝햄은 광산에서 강제 노역을 하던 중 7살 남짓의 이상한 소녀와 만났다.{nl}그 소녀는 거대한 위협에 대해 계속 말하면서도 자신에 대해선 전혀 모르는 것 같았다.{nl}	Cunningham, had been forced labor in the mines was met with strange girl of the remainder of the 7-year-old. {Nl} The girl even while saying continues for a huge threat, seemed not know at all to myself. {Nl}
QUEST_20150211_000972	커닝햄은 그 소녀를 불쌍히 여겨 돌봐 주었고, 곧 둘도 없는 친구가 되었다.{nl}	Cunningham, giving care to have mercy on the girl, became irreplaceable friend immediately. {Nl}
QUEST_20150211_000973	하지만 행복은 잠시 뿐, 광산으로 마족들의 공격이 시작되었다.{nl}커닝햄은 소녀의 도움을 받아 마족들을 이끌고 있는 미르티스를 막기 위해 열심히 싸웠다.{nl}	However, happiness is only for a while, Asmodian of attack has been started at the mine. {Nl} Cunningham, was hard fought to prevent the meal infantis that led the Magic tribe with the help of the girl. {Nl}
QUEST_20150211_000974	하지만 미르티스의 힘은 엄청났기에 커닝햄은 중요한 결단을 내릴 수 밖에 없었다.{nl}	However, Cunningham that the force of the meal Chartis smoked really did not only make an important decision. {Nl}
QUEST_20150211_000975	결국, 커닝햄은 광산을 부숴 미르티스를 간신히 봉인하였다.{nl}하지만 그 자신 또한 탈출하지 못했다.	Ultimately, Cunningham was barely sealed the collision of meal Ortiz mine. {Nl} did not also his own escape.
QUEST_20150211_000976	외과 전서	Surgery Zensho
QUEST_20150211_000977	잠들어 있던 마족을 깨운 죄는 실수로라도 용서받지 못했다.{nl}사람들은 병이 옮을까봐 그 일족을 내쫓았고 그들은 박해와 차별 속에서 오래도록 왕국을 떠돌고 있다.{nl}	Sin that has aroused the Asmodian that was sleeping was not allowed mistake Colorado. {Nl} people think or disease moves, I was cast out his family, they are flowing for a long time kingdom in the persecution and discrimination. {Nl}
QUEST_20150211_000978	그 일족의 남자는 모두 기이한 병을 앓고 있었다.{nl}그들은 각질이 심하게 일어난 살갗을 괴로운 듯 계속해서 긁고 있었다.{nl}	Man of the family had been suffering from everyone strange illness. {Nl} They were rubbing continue pained the skin horny happened badly. {Nl}
QUEST_20150211_000979	마치 과자의 표면처럼 갈라지고 터져 피와 고름이 베어나왔다.{nl}오랫 동안 고통 속에서 잠을 이루지 못해 신경쇠약에 걸려 있는 경우가 많았다.	We left it cracked like a surface of sweets, blood and pus came out bare. {Nl} is not Deki can sleep in a long time pain, in many cases you are suffering from a nervous breakdown.
QUEST_20150211_000980	왕국 여행기	Kingdom travelogue
QUEST_20150211_000981	마름포석골은 여신의 위대한 작품인가. 자연의 경이인가.{nl}남쪽 대지에 펼쳐져 있는 새하얀 석회석 계단은 각각 솟아나는 샘물로 가득 차 환상적으로 빛난다.	Whether Mitsubishi strategic move goal is a great piece of goddess. Is a natural wonder. {Nl} stairs of pure white limestone that spread to the south the earth, shining in fantastic full of the springs each fountain.
QUEST_20150211_000982	샘물의 빛깔은 때론 사파이어로, 때론 비취색으로 그 영롱하고 오묘한 색깔을 들여다 보고 있으면{nl}여신께서 보석을 풀어놓으신 것이 아닌가 하는 착각마저 들게 한다.	The color of spring, sometimes sapphire, sometimes in jade color, if that is clear to you are looking through the subtle and profound colors, and even illusion or not {nl} goddess had released a gem.
QUEST_20150211_000983	나의 고백	My confession
QUEST_20150211_000984	가슴 속의 허무함은 얼마나 많은 마족들이 죽어야 채워질지.{nl}여신께서 주신 위대한 사명의 준비를 모두 마치고 나면 남은 건 길고 지루한 삶의 순간들일 것이다.	Whether empty feeling in the chest how many Asmodian is met if have to die. After finishing all the preparation of the great mission given from {nl} goddess, and the remaining of it entertaining moment of boring life long.
QUEST_20150211_000985	그렇다면 남은 삶 동안 여신의 계시를 해석해 보리라.{nl}그것이 여신의 의지에 반하는 일이라면 즉각 내게 천벌이 내려질 것이다만.	Then, it will analyze the revelation of the remainder of the life goddess. {Nl} but will it is that if immediately against the will of the goddess scourge me are made.
QUEST_20150211_000986	작게는 나의 삶을 되돌아 볼 수 있는 계기가 될 것이며 {nl}멀리 보면 후대에 찾아올 계시의 주인에게도 도움이 되지 않을까 하는 기대를 품고 있다.	Small you are hugging Looking wonder {nl} farther an opportunity to be able to look back on my life, the expectation that it might have been also for the owner of the revelation that visit to the progeny.
QUEST_20150211_000987	독서대	Lectern
QUEST_20150211_000988	몇 권의 책이 독서대 밑의 선반에 보인다. {nl}어떤 책을 읽어 볼까?	There are some books on the shelves below the reading desk . {Nl} Which book shall we read?
QUEST_20150211_000989	전부 삭아서 볼 수가 없다.	It's too old and rustic to look at.
QUEST_20150211_000990	X월 4일{nl}-{nl}도시와 왕래라곤 거의 없는 우리 마을에 {nl}한 가족이 이사를 온 대서 마을에 환영 잔치가 열린다고 했다.{nl}도대체 이게 얼마만에 보는 외지인인지..{nl}	X month the 4th {nl} - {nl} traffic Dragon little of the city welcome feast to our town to the {nl} the family village against on the move is said to have been opened. {Nl} heck is this the external of the viewer just how much .. {nl}
QUEST_20150211_000991	어떻게 이 촌구석까지 이사를 올 생각은 했는지 모르겠지만{nl}신수의 날 이후로 퀴퀴했던 마을이 밝아지는 것 같아서 기분이 참 좋다.{nl}내일 일은 접어 두고 오늘은 나도 신나게 먹고 마셔야겠다.{nl}{nl}	How so feels good in the Kuu~ikuu~i was village becomes brighter after the date of the coming move thinking do not know what was {nl} God Beast until this Chongusoku. {Nl} aside work tomorrow, today would drink eat fun I also. {Nl} {nl}
QUEST_20150211_000992	X월 5일{nl}-{nl}이사 온 이웃과 친해져 볼까 싶어서 감자만두를 조금 쪄갔다.{nl}문을 두들기자 뭔가 안에서 우당탕탕 소리가 크게 났다.{nl}이웃집 아저씨는 별로 표정이 없어 보였지만 내가 싸온 감자 만두를 보시더니 환한 표으로 맞아 주셨다.{nl}	X month the 5th {nl} - {nl} move came neighbors and the friends sounding Let Ukataku potato dumplings I went a little steamed. Slapstick Yu-on was big in the press something hit the {nl} statement. {Nl} next uncle but seemed to not have much facial expression, I was greeted in bright table Tara see the difference on a potato dumpling. {Nl}
QUEST_20150211_000993	아저씨께서는 이 집 아들이 도배 염료로 장난을 쳐서 정신이 없다며 미안해하셨다.{nl}나도 언젠간 저렇게 화목한 가족을 이룰 수 있겠지?	Uncle, son of this house was sorry that there is no spirit to hit the mischief with a dye that Wallpapers. {Nl} would a harmonious family I sometime like that can be achieved?
QUEST_20150211_000994	X월 10일{nl}-{nl}건너편 개울가에 살던 라만 아저씨가 며칠 째 부재중이시다.{nl}부인께서는 라만씨가 나무하러 가셨다곤 하는데..{nl}뭐, 간만에 클라페다라도 나가신 모양이겠지. {nl}클라페다에는 이쁜 아가씨들이 많다고 가끔 나에게 귀띔해 주셨거든.{nl}	X month the 10th {nl} - Raman uncle who lived on the other side of the creek {nl} is rough in what day absence. {Nl} Mrs., Dagon Raman Mr. was go come to tree .. {nl} Well, client page Dara for the first time in a long time would also be my God-shaped. The {nl} Klaipeda, and beautiful women often if me sometimes whispered to me. {Nl}
QUEST_20150211_000995	X월 13일{nl}-{nl}여신께 기원을 올리는 날인데 이웃집 사람들은 또 모두 배탈이 났다며 참여하지 않았다.{nl}왜 기원을 올리는 날만 오면 아프다는건진 모르겠다만 뭐. 아프다는데 어쩔 수 없지.{nl}나중에 감자죽이라도 쑤어서 가져다 줘야겠다.{nl}	X month the 13th {nl} - {nl} person next to the house for a day to raise the origin to the goddess also did not participate with the upset of all the stomach came out. {Nl} Why I do not know examination painful Ken If only this day to raise the origin, Well. There is no sense to painful. {Nl} there is no need to bring Suoso also later kill potatoes. {Nl}
QUEST_20150211_000996	X월 14일{nl}-{nl}어젯밤 여동생과 크게 다퉜다.{nl}사실 여기다 쓰기에도 민망할 정도로 별 거 아닌 일이라..{nl}나중에 선물해 주려고 만든 목걸이가 있는데 여동생이 돌아오거든 그냥 줘야겠다.{nl}그런데 아침 댓바람부터 어딜 나갔길래 돌아오질 않는 걸까.{nl}	X month the 14th {nl} - I ran significantly from the last night of the sister of {nl}. {Nl} not much fact as bad is determined to also send at me, because the day .. {nl} it must it only if Kore is back sister there is later shown necklace made with'll let you be. {Nl} However, I wonder does not come back because say and from morning Detobaramu where went to. {Nl}
QUEST_20150211_000997	참, 이웃집에서 저번에 쑤어준 죽이 맛있었다면서 답례로 따뜻한 수프를 가져다 주셨다.{nl}내가 한 요리 하긴 하지. 엣헴.{nl}오늘은 밤이 깊었으니 두었다 다음에 데워먹어야겠다.	Well, given bring warm soup from the house next door to the enemy was delicious porridge it was the last of sewer. {Nl} does not or I was cooking. Etohemu. {Nl} Today I'm going to eat warmed to the next you put it because it was deep in the night.
QUEST_20150211_000998	X월 16일{nl}-{nl}수프가 상한 줄도 모르고 입에 넣었다가 다 게워냈다.{nl}먹기 전에 냄새라도 좀 맡아 볼껄. 하지만 쉰 냄새는 맡지 못했는데..{nl}속이 계속 좋지 않아서 우물가로 달려갔지만 {nl}된통 잘못 먹었는지 우물물도 메슥거리는 것 처럼 느껴진다.{nl}	X month the 16th {nl} - {nl} soup was placed in the mouth without also known as the upper limit, but it was to be a multi-reflux. {Nl} little entrusted to Borukoru also smell before eating. However, fifty smell is felt as did but .. was he ran into the well is not good continuation in the {nl} {nl} Do~u~enton wrong and whether well water also queasy distance ate underwriting. {Nl}
QUEST_20150211_000999	억지로 계속 토해냈더니 그나마 좀 괜찮아 진 것 같다.{nl}내일 일찍 고든 아저씨네 집에 약초를 좀 얻어야 겠다.{nl}여동생은 아직도 돌아오질 않았다.{nl}방에 들어 가 보니 몇몇 옷가지가 없다.{nl}라만 아저씨 일도 있고 해서 걱정이 된다.{nl}	Seems to have been a little okay even I get forced to continue soil. {Nl} must be obtained little herbs in the house of tomorrow early Gordon uncle. {Nl} sister did not come back yet. {Nl} there is no some clothes When I entered the room. {Nl} become a worry There is also Raman uncle. {Nl}
QUEST_20150211_001000	X월 17일{nl}-{nl}오늘따라 마을이 너무 조용하다.{nl}고든씨네 집에 약초를 얻으러 갔는데 인기척이 없어서 그냥 돌아 왔다.	X month the 17th {nl} - {nl} village is very quiet along today. {Nl} without signs of people who went to take the herb to Gordon's house came back as it is.
QUEST_20150211_001001	X월 23일{nl}-{nl}어쩌면 이 일기가 마지막이 될 수도 아닐 수도 있을 것 같다.{nl}세상에 하나밖에 없는 나의 가족 리리아나.. {nl}너만은 제발 어딘가에서라도 살아 있어 주길.{nl}	X month the 23rd {nl} - {nl} perhaps, seems to be that this diary is not there is a possibility that be the last. {Nl} can you one there is only my family and Lilia .. {nl} alive even to you only somewhere, please in the world. {Nl}
QUEST_20150211_001002	{nl}(무언가를 썼다가 황급히 지운 흔적만 남아 있다.){nl}	{Nl} (I wrote something, but remains only erase traces in a hurry.) {Nl}
QUEST_20150211_001003	날짜 모르겠음.{nl}-{nl}며칠이 지났는지도 모르겠다.{nl}이틀 정도 먹지도 자지도 못하고 계속 달린 것 같다.{nl}클라페다쪽으로 도망치던 사람들은 모두 잡혀 죽었다.{nl}어쩌면, 나 말고도 살아있는 사람들이 있는지 없는지 조차도 모르겠다.{nl}모든 건 그림자처럼 아주 조용히, 빠르게.. 미쳐버릴 것 같은 공포가 옥죄어 오는 것 같다.{nl}	Do not know the date. {Nl} - {nl} might wait a few days. {Nl} it seems to have continued to run and can not even sleep to eat as the 2nd. {Nl} people fled toward the Klaipeda, was killed by being all caught. {Nl} Maybe even do not know whether to me than there are people who are still alive. {Nl} all, like the shadow, very quiet, seems to be the high-speed .. crazy would likely fear is tightening language. {Nl}
QUEST_20150211_001004	그들은 어떠한 소란이나 혼란을 원하지 않았다. {nl}그들은 사람이 아니다.{nl}어떻게든 클라페다로 알려야한다.. {nl}그것만이 내 이웃의 더러운 인두껍을 벗겨버리는 마지막 수단이 될 것이다.	They do not want any fuss and confusion. {Nl} they are not people. {Nl} it must somehow notify the Klaipeda. {Nl} would it only becomes a last resort that would peeled dirt pharynx fold of my neighbor.
QUEST_20150211_001005	아. 자네로군. {nl}여긴 우리 군의 집결지이니 편히 있도록 하게.	Oh. I you're. {Nl} can be easier because here Korea military staging area.
QUEST_20150211_001006	벌써 우리 병사들과 통성명이라도 한 건가?{nl}흠.. 자네들 이름은 뭐지?	Did also in our soldiers and Tonsonmyon already? {Nl} Hmm .. What are you guys name?
QUEST_20150211_001007	그래, 고맙네. 자네들도 열심이로군.{nl}내 부관들과 이야기하고 싶은데 다들 어디 있지?	Yes, Hey thanks. That's you also enthusiastic. I want to talk to {nl} in the adjutant everyone Where?
